route_id,guid,geom,x,y,dist_center,dist_bike_parking,n_bike_parking,highway_class,dist_est_biciq,n_est_biciq,dist_ciclovia,n_intersect,dist_intersect,n_busstops,dist_busstop,n_accidents,dist_accident,n_deadly_accidents,dist_deadly_accident,dist_brt_corr,n_zebra_crossings,dist_zebra_crossings,n_speedbumps,dist_speedbumps,n_traffic_signals,dist_traffic_signals,frac_green_areas,dist_green_area,n_parking,dist_parking,dist_oneway,n_shopss,dist_shop,land_use,n_education,dist_education,slope,elevation
C10-RO01,7463,010100002031BF0D005DA50BA3879E53C0046F73036C39C6BF,-78.4770286191683,-0.173627378163353,6472.857436459,691.251146637,0,primary,488.80305866,0,477.313751251,2,4.793829748,1,45.025344657,0,1085.957760275,0,373.963059543,2.772286819,1,32.126402559,0,351.290089452,0,480.136854256,0,80.515498503,0,946.810901727,2.556538142,0,263.969978134,res.medio consum,0,88.524707134,89.9848937988281,2778.9052734375
C16-RO03,7464,010100002031BF0D00EFC948B8879E53C0E4975744B5DEC5BF,-78.4770336829022,-0.170859011049458,6720.737297117,835.11738028,0,secondary,762.125527299,0,631.070376123,2,17.84826161,0,117.857638335,0,1073.21293891,0,383.949023234,79.748916749,0,143.645845438,0,387.927309684,0,309.678865822,0,151.965426399,0,816.906344062,2.4203441,0,135.970043244,res.medio consum,0,251.814644711,89.9716262817383,2779.97900390625
C08-RO05,7465,010100002031BF0D00DD3FDAAB879E53C06592A1FD75E5C3BF,-78.4770307189314,-0.155440090983706,8177.890239484,820.726899907,0,primary,1266.387942517,0,1253.599961106,2,7.437227583,0,165.234222181,0,575.191397911,0,83.24422795,5.432732633,0,76.098159329,0,150.350964926,0,98.739441888,0,208.100805153,0,1670.858573613,0.13652081,0,676.132358226,res.medio consum,1,15.718020213,89.9550933837891,2790.00244140625
C18-RO01,7466,010100002031BF0D003419EE79879E53C07168176D134AC6BF,-78.4770188164883,-0.174135616557411,6428.511664978,659.072807591,0,primary,444.183427037,0,432.453653664,0,61.134433379,2,11.54071253,0,1084.264406764,0,397.954752898,7.287538363,1,16.694645537,0,371.976092594,0,521.511975886,0,136.402766752,0,975.305077654,0.375197746,0,258.918222715,comercial,0,135.451499411,89.9879684448242,2780.03295898438
C06-RO04,7467,010100002031BF0D008D0FAE7E879E53C0124563F728E7C3BF,-78.4770199489414,-0.155491944117366,8173.394703391,814.912730831,0,primary,1262.457620984,0,1249.68241688,2,2.568086264,0,170.700501578,0,572.50267132,0,89.01353266,3.533852081,0,81.849539586,0,149.544912572,0,104.354405451,0,203.095030231,0,1666.327546177,1.767297346,0,678.653240791,res.medio consum,1,13.040762256,89.9550933837891,2790.00244140625
C09-RO04,7468,010100002031BF0D0055C37F22879E53C0CB9A7D838C47C6BF,-78.476997971314,-0.174058498577514,6436.734207435,665.795730895,0,primary,452.323528303,0,440.616189873,0,52.730978081,2,4.490137729,0,1086.813975336,0,391.713862986,7.117378547,1,24.303930644,0,366.114017726,0,520.045061404,0,127.653766387,0,972.97096174,0.381495396,0,256.41486656,comercial,0,129.065778388,89.9873046875,2779.93798828125
C06-RO01,7469,010100002031BF0D0056098BC2869E53C08E4F85E035D7C3BF,-78.4769750936296,-0.15500520193984,8223.361391549,868.79017098,0,primary,1309.236182198,0,1296.384118581,3,9.940100939,0,116.589995112,0,611.448592025,1,48.45755611,5.25304993,2,28.116532358,0,149.752650092,1,50.001784261,0,255.93932008,0,1716.575381768,0.000027347,0,643.131715621,res.medio consum,0,62.419318882,89.9569702148438,2790.3935546875
C09-RO02,7470,010100002031BF0D0005E9A78A869E53C02D901E789E31C6BF,-78.47696176908,-0.173389252330823,6498.474638574,713.528611102,0,primary,514.884241363,0,503.459936824,2,18.722267217,0,71.890035465,0,1095.666183854,0,357.672673553,2.776608297,1,22.414969013,0,336.675296337,0,464.979362701,0,53.209649647,0,941.468031002,2.773223396,0,259.893557509,res.medio consum,0,78.389075525,89.9848937988281,2778.9052734375
C26-RO05,7471,010100002031BF0D001C412270869E53C08C08EDC233AAC7BF,-78.4769554457202,-0.184881658724468,5531.685087163,292.668023969,0,primary,689.323547546,0,627.57769899,1,9.071779154,0,232.672036862,0,1599.576675274,0,609.258094488,233.662053433,0,114.836916191,0,148.038072431,0,145.825479953,0,328.903029181,0,619.877582899,0.245600101,0,294.071495786,res.medio consum,0,202.699315706,89.9968032836914,2800.66162109375
C27-RO04,7472,010100002031BF0D000E6B9E66869E53C084676EC752A0C7BF,-78.476953177171,-0.184580180529164,5555.631870438,280.28367265,0,primary,671.436938244,0,622.391020904,1,27.388318487,0,230.5423111,0,1575.402417694,0,642.710954021,229.032630848,0,140.247249945,0,175.900887305,0,172.922896841,0,304.194081855,0,602.124792359,0.155966415,0,285.563146515,res.alto consumo,0,181.825348603,89.9968032836914,2800.66162109375
C18-RO05,7473,010100002031BF0D00DE080242869E53C07A6B24C2EFCCC3BF,-78.4769444484586,-0.15469166736224,8255.668995321,903.519351609,0,primary,1339.781736582,0,1326.886365303,6,14.973042072,0,81.855832416,0,637.869358626,1,43.615342867,6.167178829,5,10.781217014,0,159.811898895,4,14.972942434,0,290.327304534,0,1749.160601935,0.015160416,0,621.527241808,sin dato,0,97.122657323,89.9744873046875,2791.17138671875
C18-RO05,7474,010100002031BF0D004006399D859E53C046250FA773AFC3BF,-78.4769051606063,-0.153791863033158,8345.970352125,1003.416946097,0,primary,1425.681459974,0,1412.673787359,2,21.320470259,1,26.299045531,0,714.301947924,0,117.082602159,21.714869593,2,28.470154266,0,222.596758916,0,72.098159929,0,388.448103282,0,1840.828500753,0.249558989,0,572.002465701,comercial,1,47.257453752,89.9764709472656,2793.23999023438
C09-RO01,7475,010100002031BF0D0042F6047E859E53C034816A55653BC6BF,-78.4768977211434,-0.17368761702256,6476.303037302,698.80226842,0,primary,491.830772319,0,480.229368139,2,19.576365576,1,41.000968918,0,1099.995433756,0,363.239602951,6.299033485,1,26.629648564,0,339.757986503,0,494.611926145,0,85.961877883,0,962.81192363,0.411782274,0,248.493087214,comercial,0,103.628965446,89.9848937988281,2778.9052734375
C22-RO05,7476,010100002031BF0D00D1104C48859E53C00558AE5C4AA7C7BF,-78.4768849127606,-0.18479280019227,5544.21856568,295.813593808,0,primary,690.44502625,0,633.526102737,1,3.600316524,0,239.272700316,0,1597.749145443,0,619.734717081,239.983374077,0,127.344167124,0,151.741319833,0,158.434888485,0,316.300502168,0,621.040844607,0.283221549,0,298.646678421,res.medio consum,0,202.142689171,89.9968032836914,2800.66162109375
C01-RO03,7477,010100002031BF0D006C9F6E36859E53C0EEFCB0E0F9DFC5BF,-78.47688065341,-0.170897707665041,6727.128373976,851.001969735,0,secondary,764.51430295,0,648.577852373,3,10.456453725,0,109.467699925,0,1085.297408173,0,366.757223189,62.258352624,0,138.917983689,0,371.120917512,0,327.2302899,0,151.541423635,0,834.438400732,2.176110954,0,118.58571405,res.medio consum,0,252.378796776,89.9716262817383,2779.97900390625
C25-RO01,7478,010100002031BF0D00F8997303859E53C08D1CA60C8C75B7BF,-78.4768684986992,-0.0916373759156263,14810.054228655,2924.520267138,0,primary,8007.141193596,0,7982.056135405,0,73.697198441,0,186.372827864,0,1531.503034496,0,267.36548382,17.818113062,0,104.14374634,0,418.883542575,0,645.568106903,0,363.700111612,0,248.292289144,0.030910992,0,151.391557433,res.medio consum,0,201.393254934,89.9943542480469,2769.09375
