guid,geom,x,y,is_experience,image_name,route_id,dist_center,dist_bike_parking,n_bike_parking,highway_class,dist_est_biciq,n_est_biciq,dist_ciclovia,n_intersect,dist_intersect,n_busstops,dist_busstop,n_accidents,dist_accident,n_deadly_accidents,dist_deadly_accident,dist_brt_corr,n_zebra_crossings,dist_zebra_crossings,n_speedbumps,dist_speedbumps,n_traffic_signals,dist_traffic_signals,frac_green_areas,dist_green_area,n_parking,dist_parking,dist_oneway,n_shopss,dist_shop,land_use,n_education,dist_education,slope,elevation,pos_neg,tags
1508,0101000020E6100000ED860E97AB9F53C0AD6ECE51056FC7BF,-78.4948480264536,-0.183075585312385,f,,C18-RO03,4540.427867576,6.692703602,2,primary,54.177027645,0,71.600268812,0,86.126202198,1,24.433750587,0,1071.527844746,0,417.979806227,15.174496766,0,79.182842538,0,725.186176606,0,360.953093764,0,247.682663412,0,895.445974528,0.271300624,0,1004.442070757,res.medio consum,0,215.213125373,89.9928741455078,2832.7373046875,,
1509,0101000020E6100000AE2E166FAB9F53C068406959DB1DCABF,-78.4948384968399,-0.204036158235343,f,,C17-RO03,2621.328556516,56.804603712,0,residential,61.334994193,0,6.455230085,1,49.529274503,0,208.495305544,0,1040.108872939,0,519.715771116,327.813284619,4,25.52265676,0,313.913987675,0,74.844010338,0,122.216782008,2,41.495887035,0.073781122,1,46.988062052,comercial,0,134.410939006,89.9458770751953,2795,,
1510,0101000020E61000000F97941DAB9F53C06AC6ABB8606AC9BF,-78.4948190642428,-0.198558893367181,f,,C18-RO03,3069.800121442,136.934941471,0,secondary,392.231974839,0,115.294079468,0,109.226705276,0,144.339061599,0,441.12282803,0,126.884103563,138.898829031,0,101.300235624,0,179.842661208,0,109.226705276,0,157.768836797,0,434.059881821,0.004153061,0,133.939987918,comercial,0,210.89808468,89.9851531982422,2792.935546875,,
1511,0101000020E610000005B47FB4AA9F53C078B33584E43BC7BF,-78.4947940108396,-0.181515278392364,f,,C19-RO02,4700.688573786,173.337600167,0,primary,225.526937594,0,96.952249298,0,84.925659431,0,194.980010706,0,976.836833878,0,529.54097055,10.423317319,0,68.369889377,0,683.107546888,0,532.052481699,0,153.956498627,0,926.380735436,0.03226767,0,839.591132359,res.medio consum,0,170.76783349,89.9946136474609,2835.181640625,,
1512,0101000020E61000003534ED97AA9F53C0029751480400C9BF,-78.4947871986813,-0.195313010513182,f,,C23-RO02,3360.803787755,337.581031806,0,primary,568.63233057,0,241.177589005,4,19.054376354,0,297.787652345,0,135.451235306,0,215.957699404,3.308485633,0,232.659639473,0,534.228516213,0,215.840995419,0,353.319820689,0,208.775853389,0.088687831,0,221.976972957,sin dato,0,73.227328323,89.9749984741211,2794.48828125,,
1513,0101000020E61000008182A53FAA9F53C03FC7E55254F5CBBF,-78.494766151076,-0.218424358823137,f,,C16-RO01,1937.414457454,862.357053429,0,residential,857.727317087,0,446.863356487,1,40.357279164,0,647.644319095,0,987.295026971,0,441.216142022,635.038523584,0,582.698766313,0,439.459559914,0,1483.614097691,0,146.759587508,0,610.651044516,114.306000697,0,1321.934917894,res.medio consum,0,120.289827869,89.9982299804688,2852.78442382812,,
1514,0101000020E61000001073521FAA9F53C01639541F3A19CABF,-78.4947584443255,-0.20389486818062,f,,C17-RO02,2638.548358998,38.803598237,1,residential,43.293104772,1,6.253299102,0,59.37582078,0,190.44765906,0,1023.459808895,0,533.838931883,333.427153667,4,10.137811729,0,297.783561234,0,92.901185492,0,118.268088806,2,37.32213235,0.054586974,0,64.351302738,comercial,0,118.144037169,89.9458770751953,2795,,
1515,0101000020E6100000760B7FF9A99F53C0C210600074A3CABF,-78.4947494259521,-0.208113193686705,f,,C22-RO05,2344.672945375,240.897401657,0,primary,261.175482518,0,242.102720737,5,25.3657591,0,179.726782665,0,1490.329200161,0,500.383381686,9.033821443,0,71.841704359,0,766.71015946,0,338.619952886,0,153.435578088,0,51.724712223,0.068392974,0,213.090653127,comercial,0,243.824081795,89.8896942138672,2794.81665039062,,
1516,0101000020E6100000F56F46EBA89F53C0BEF1E3A90315CABF,-78.494685000216,-0.203766305879879,f,,C23-RO03,2654.275571845,22.460425098,1,residential,26.866068051,1,1.301648985,0,71.177810184,0,173.992322905,0,1008.345411795,0,546.952469859,338.490146854,4,2.139039576,0,283.307708963,0,101.568015457,0,116.810021264,1,32.399798565,5.0642e-05,0,80.459881806,comercial,0,103.860540869,89.9655227661133,2794.4384765625,,
1517,0101000020E6100000483CBEF6A89F53C09999B577ED51C7BF,-78.4946877343911,-0.18218773217377,f,,C18-RO03,4637.501967619,101.110362886,0,primary,153.883504292,0,71.864183026,2,13.59938628,0,123.235395939,0,1026.987517464,0,503.178172406,14.125074543,1,9.205167433,0,682.138296892,0,461.119393666,0,188.274655842,0,923.349870841,0.041884248,0,905.315134873,res.medio consum,0,231.233594291,89.9934844970703,2830.23876953125,,
